TGNR	has_bruker_maldi	code_count	codes	has_medianpeaks	csv_file_count	run_accession	sample_accession	experiment_accession	inferred_year	phylogroup	phylogroup_rough	best_mash_dist	ST	is_ST131	one_representative_per_case	papG_variant	amr_gene_count	amr_genes	amr_products	vitek_CIP_result	vitek_CTR_result	vitek_MER_result	vitek_NFT_result	vitek_FOT_result	mic_vitek_CIP	mic_vitek_CTR	mic_vitek_MER	mic_vitek_NFT	mic_vitek_FOT	etest_CIP_result	etest_CTR_result	mic_etest_CIP	mic_etest_CTR
710676-19	False	0		False	0	ERR10177030	SAMEA111331302	ERX9713499	2019	B2-2	B2	0.013006	404	False	True	no papG	4	aadA1;blaEC-5;dfrA1;estX/sat2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;bifunctional putative esterase EstX/streptothricin N-acetyltransferase Sat1;cephalosporin-hydrolyzing class C beta-lactamase EC-5;trimethoprim-resistant dihydrofolate reductase DfrA1	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710736-19	False	0		False	0	ERR10177031	SAMEA111331303	ERX9713500	2019	B2-2	B2	0.00970702	80	False	True	no papG	2	blaEC-5;blaTEM-1	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710760-19	False	0		False	0	ERR10177032	SAMEA111331304	ERX9713501	2019	A	A	0.0121863	1072	False	True	no papG	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710778-19	False	0		False	0	ERR10177033	SAMEA111331305	ERX9713502	2019	B2-1	B2	0.00542446	131	True	True	no papG	3	blaEC-5;dfrA14;mph(A)	Mph(A) family macrolide 2'-phosphotransferase;cephalosporin-hydrolyzing class C beta-lactamase EC-5;trimethoprim-resistant dihydrofolate reductase DfrA14	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710816-19	False	0		False	0	ERR10177034	SAMEA111331306	ERX9713503	2019	B1	B1	0.00886505	162	False	True	no papG	2	blaEC-18;tet(34)	class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	resistent	sensibel	sensibel	sensibel	sensibel	>=4	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710827-19	False	0		False	0	ERR10177035	SAMEA111331307	ERX9713504	2019	B2-2	B2	0.0105731	1161	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710839-19	False	0		False	0	ERR10177036	SAMEA111331308	ERX9713505	2019	B2-2	B2	0.00208336	73	False	True	no papG	5	aadA1;blaEC-5;dfrA1;qacEdelta1;sul1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;cephalosporin-hydrolyzing class C beta-lactamase EC-5;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;trimethoprim-resistant dihydrofolate reductase DfrA1	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710887-19	False	0		False	0	ERR10177037	SAMEA111331309	ERX9713506	2019	B2-2	B2	0.00927756	141	False	False	no papG_papGIII	1	blaEC-19	class C extended-spectrum beta-lactamase EC-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
710964-19	False	0		False	0	ERR10177038	SAMEA111331310	ERX9713507	2019	D1	D	0.00941431	394	False	True	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710971-19	False	0		False	0	ERR10177039	SAMEA111331311	ERX9713508	2019	A	A	0.0100707	746	False	True	no papG	2	blaEC-15;tet(34)	class C extended-spectrum beta-lactamase EC-15;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710974-19	False	0		False	0	ERR10177040	SAMEA111331312	ERX9713509	2019	G	G	0.00535258	117	False	True	no papG	3	blaEC-8;tet(34);tet(B)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);tetracycline efflux MFS transporter Tet(B)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710979-19	False	0		False	0	ERR10177041	SAMEA111331313	ERX9713510	2019	A	A	0.00517735	10	False	True	no papG	6	aadA12;blaEC-8;blaTEM-40;dfrA1;sul2;tet(34)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12;cephalosporin-hydrolyzing class C beta-lactamase EC-8;inhibitor-resistant class A broad-spectrum beta-lactamase TEM-40;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);sulfonamide-resistant dihydropteroate synthase Sul2;trimethoprim-resistant dihydrofolate reductase DfrA1	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710990-19	False	0		False	0	ERR10177042	SAMEA111331314	ERX9713511	2019	B2-2	B2	0.00367873	73	False	True	no papG	2	blaEC-5;qnrB19	cephalosporin-hydrolyzing class C beta-lactamase EC-5;quinolone resistance pentapeptide repeat protein QnrB19	intermediär	sensibel	sensibel	sensibel	sensibel	=0.5	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
710993-19	False	0		False	0	ERR10177043	SAMEA111331315	ERX9713512	2019	C	C	0.00801248	88	False	True	no papG_papGV	13	aac(3)-IId;aadA1;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;blaCTX-M-15;blaEC-13;blaTEM-171;catA1;dfrA1;mph(B);qacEdelta1;sul1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;Mph(B) family macrolide 2'-phosphotransferase;aminoglycoside N-acetyltransferase AAC(3)-IId;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(3')-Ia;aminoglycoside O-phosphotransferase APH(6)-Id;class A beta-lactamase TEM-171;class A extended-spectrum beta-lactamase CTX-M-15;class C extended-spectrum beta-lactamase EC-13;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;trimethoprim-resistant dihydrofolate reductase DfrA1;type A-1 chloramphenicol O-acetyltransferase	resistent	resistent	sensibel	sensibel	sensibel	>=4	>=64	<=0.25	<=16	<=16	NA	NA	NA	NA
711029-19	False	0		False	0	ERR10177044	SAMEA111331316	ERX9713513	2019	B2-2	B2	0.010918	6999	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711030-19	False	0		False	0	ERR10177045	SAMEA111331317	ERX9713514	2019	B1	B1	0.00922153	162	False	False	no papG	4	aadA5;blaEC-18;dfrA17;tet(34)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);trimethoprim-resistant dihydrofolate reductase DfrA17	resistent	sensibel	sensibel	sensibel	sensibel	>=4	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711043-19	False	0		False	0	ERR10177046	SAMEA111331318	ERX9713515	2019	B2-2	B2	0.0104071	8281	False	True	no papG	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711054-19	False	0		False	0	ERR10177047	SAMEA111331319	ERX9713516	2019	D1	D	0.00273129	69	False	True	no papG_papGIV	5	aph(3'')-Ib;aph(6)-Id;blaEC-8;dfrA14;sul2	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-8;sulfonamide-resistant dihydropteroate synthase Sul2;trimethoprim-resistant dihydrofolate reductase DfrA14	resistent	sensibel	sensibel	sensibel	sensibel	>=4	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711058-19	False	0		False	0	ERR10177048	SAMEA111331320	ERX9713517	2019	D1	D	0.00397212	69	False	True	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711106-19	False	0		False	0	ERR10177049	SAMEA111331321	ERX9713518	2019	B1	B1	0.0107534	224	False	True	no papG	1	blaEC-18	class C extended-spectrum beta-lactamase EC-18	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711109-19	False	0		False	0	ERR10177050	SAMEA111331322	ERX9713519	2019	B2-1	B2	0.00173006	131	True	True	no papG	11	aadA5;ant(3'')-Ih/aac(6')-IId;blaCTX-M-15;blaEC-5;blaOXA-1;catB3;dfrA17;mph(A);qacEdelta1;sul1;tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;Mph(A) family macrolide 2'-phosphotransferase;bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ih/aminoglycoside N-acetyltransferase AAC(6')-Iid;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-15;oxacillin-hydrolyzing class D beta-lactamase OXA-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA17;type B-3 chloramphenicol O-acetyltransferase CatB3	resistent	resistent	sensibel	sensibel	sensibel	>=4	=8	<=0.25	<=16	<=16	NA	NA	NA	NA
711211-19	False	0		False	0	ERR10177051	SAMEA111331323	ERX9713520	2019	B2-1	B2	0.00570154	131	True	True	no papG	12	aadA5;aph(3'')-Ib;aph(6)-Id;blaCTX-M-139;blaCTX-M-15;blaEC-5;dfrA17;mph(A);qacEdelta1;sul1;sul2;tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-139;class A extended-spectrum beta-lactamase CTX-M-15;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA17	intermediär	resistent	sensibel	sensibel	sensibel	=0.5	>=64	<=0.25	<=16	<=16	NA	NA	NA	NA
711250-19	False	0		False	0	ERR10177052	SAMEA111331324	ERX9713521	2019	B1	B1	0.0100748	533	False	True	no papG	15	aadA1;aadA2;ant(2'')-Ia;aph(3')-Ia;blaEC-18;blaTEM-171;dfrA12;dfrA36;floR;mph(A);qacEdelta1;sul1;sul2;tet(A);tet(M)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3')-Ia;aminoglycoside nucleotidyltransferase ANT(2'')-Ia;chloramphenicol/florfenicol efflux MFS transporter FloR;class A beta-lactamase TEM-171;class C extended-spectrum beta-lactamase EC-18;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);tetracycline resistance ribosomal protection protein Tet(M);trimethoprim-resistant dihydrofolate reductase DfrA12;trimethoprim-resistant dihydrofolate reductase DfrA36	resistent	sensibel	sensibel	sensibel	sensibel	>=4	<=1	<=0.25	=64	<=16	NA	NA	NA	NA
711327-18	True	0		True	4	ERR10177053	SAMEA111331325	ERX9713522	2018	B2-2	B2	0.0031639	73	False	False	no papG_papGIII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711336-18	True	0		True	4	ERR10177054	SAMEA111331326	ERX9713523	2018	B2-2	B2	0.00295762	73	False	False	no papG	6	aph(3'')-Ib;aph(6)-Id;blaEC-5;blaOXA-1;sul2;tet(B)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxacillin-hydrolyzing class D beta-lactamase OXA-1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(B)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711340-19	False	0		False	0	ERR10177055	SAMEA111331327	ERX9713524	2019	A	A	0.00445876	10	False	True	no papG	10	aadA2;blaEC-8;blaTEM-1;catA1;dfrA12;mph(A);qacEdelta1;sul1;tet(34);tet(B)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2;Mph(A) family macrolide 2'-phosphotransferase;cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A broad-spectrum beta-lactamase TEM-1;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;tetracycline efflux MFS transporter Tet(B);trimethoprim-resistant dihydrofolate reductase DfrA12;type A-1 chloramphenicol O-acetyltransferase	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711394-19	False	0		False	0	ERR10177056	SAMEA111331328	ERX9713525	2019	B2-2	B2	0.00998745	12	False	True	no papG_papGIII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711402-18	True	0		True	4	ERR10177057	SAMEA111331329	ERX9713526	2018	B2-2	B2	0.00265558	73	False	False	no papG_papGII_papGIII	2	blaEC-5;blaTEM-1	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711446-19	False	0		False	0	ERR10177058	SAMEA111331330	ERX9713527	2019	B2-2	B2	0.0128291	1643	False	True	no papG	1	blaEC-19	class C extended-spectrum beta-lactamase EC-19	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711447-19	False	0		False	0	ERR10177059	SAMEA111331331	ERX9713528	2019	A	A	0.00866587	450	False	True	no papG	12	aadA5;aph(3'')-Ib;aph(6)-Id;blaEC-15;blaTEM-1;dfrA17;mph(A);qacEdelta1;sul1;sul2;tet(34);tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-15;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA17	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	=64	<=16	NA	NA	NA	NA
711467-19	False	0		False	0	ERR10177060	SAMEA111331332	ERX9713529	2019	D1	D	0.00485407	69	False	False	no papG_papGII	9	aph(3'')-Ib;aph(6)-Id;blaEC-8;blaTEM-1;dfrA7;qacEdelta1;sul1;sul2;tet(A)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A broad-spectrum beta-lactamase TEM-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA7	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711482-19	False	0		False	0	ERR10177061	SAMEA111331333	ERX9713530	2019	B2-1	B2	0.00400536	131	True	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711531-19	False	0		False	0	ERR10177062	SAMEA111331334	ERX9713531	2019	D1	D	0.00470245	69	False	True	no papG	2	blaEC-8;tet(A)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;tetracycline efflux MFS transporter Tet(A)	sensibel	resistent	sensibel	sensibel	sensibel	<=0.25	>=64	<=0.25	<=16	<=16	NA	NA	NA	NA
711576-19	False	0		False	0	ERR10177063	SAMEA111331335	ERX9713532	2019	B2-2	B2	0.0110357	95	False	True	no papG	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711588-19	False	0		False	0	ERR10177064	SAMEA111331336	ERX9713533	2019	C	C	0.00688524	88	False	True	no papG_papGV	7	aph(3'')-Ib;aph(6)-Id;blaEC-13;blaTEM-1;dfrA5;sul2;tet(A)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-13;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711596-19	False	0		False	0	ERR10177065	SAMEA111331337	ERX9713534	2019	B2-1	B2	0.0119977	357	False	True	no papG	6	aadA1;blaEC-5;blaTEM-1;dfrA1;estX/sat2;sul2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;bifunctional putative esterase EstX/streptothricin N-acetyltransferase Sat1;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1;sulfonamide-resistant dihydropteroate synthase Sul2;trimethoprim-resistant dihydrofolate reductase DfrA1	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711603-18	True	0		True	4	ERR10177066	SAMEA111331338	ERX9713535	2018	B2-2	B2	0.00910993	127	False	False	no papG_papGIII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711616-19	False	0		False	0	ERR10177067	SAMEA111331339	ERX9713536	2019	D1	D	0.00366982	69	False	True	no papG_papGIV	5	aadA1;aadA2;blaEC-8;cmlA1;dfrA17	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2;cephalosporin-hydrolyzing class C beta-lactamase EC-8;chloramphenicol efflux MFS transporter CmlA1;trimethoprim-resistant dihydrofolate reductase DfrA17	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711648-19	False	0		False	0	ERR10177068	SAMEA111331340	ERX9713537	2019	B1	B1	0.00890434	2165	False	True	no papG	8	aadA1;arr-2;blaEC-18;blaOXA-10;cmlA5;dfrA14;tet(34);tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;NAD(+)--rifampin ADP-ribosyltransferase Arr-2;chloramphenicol efflux MFS transporter CmlA5;class C extended-spectrum beta-lactamase EC-18;oxacillin-hydrolyzing class D beta-lactamase OXA-10;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA14	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711651-19	False	0		False	0	ERR10177069	SAMEA111331341	ERX9713538	2019	C	C	0.00207524	23	False	True	no papG	1	blaEC-13	class C extended-spectrum beta-lactamase EC-13	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711660-19	False	0		False	0	ERR10177070	SAMEA111331342	ERX9713539	2019	A	A	0.0050326	NF*	False	False	no papG	14	aadA1;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;blaEC-8;blaTEM-1;dfrA1;floR;mph(B);qacEdelta1;sul1;sul2;tet(34);tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;Mph(B) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(3')-Ia;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-8;chloramphenicol/florfenicol efflux MFS transporter FloR;class A broad-spectrum beta-lactamase TEM-1;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA1	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711667-19	False	0		False	0	ERR10177071	SAMEA111331343	ERX9713540	2019	B2-2	B2	0.00132973	73	False	True	no papG_papGII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711686-19	False	0		False	0	ERR10177072	SAMEA111331344	ERX9713541	2019	F	F	0.0137538	457	False	True	no papG	5	aadA2;blaCTX-M-14;blaEC-8;lnu(F);tet(34)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2;cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A extended-spectrum beta-lactamase CTX-M-14;lincosamide nucleotidyltransferase Lnu(F);oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	resistent	sensibel	sensibel	sensibel	sensibel	=1	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711693-19	False	0		False	0	ERR10177073	SAMEA111331345	ERX9713542	2019	A	A	0.00386677	10	False	True	no papG	2	blaEC-8;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711763-19	False	0		False	0	ERR10177074	SAMEA111331346	ERX9713543	2019	A	A	0.011097	93	False	True	no papG_papGIII	4	blaEC-15;blaTEM-1;tet(34);tet(A)	class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-15;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);tetracycline efflux MFS transporter Tet(A)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711854-19	False	0		False	0	ERR10177075	SAMEA111331347	ERX9713544	2019	D1	D	0.00492081	69	False	True	no papG_papGIV	10	aadA1;arr-2;blaCTX-M-65;blaEC-8;blaOXA-10;cmlA5;dfrA14;floR;qnrS1;tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;NAD(+)--rifampin ADP-ribosyltransferase Arr-2;cephalosporin-hydrolyzing class C beta-lactamase EC-8;chloramphenicol efflux MFS transporter CmlA5;chloramphenicol/florfenicol efflux MFS transporter FloR;class A extended-spectrum beta-lactamase CTX-M-65;oxacillin-hydrolyzing class D beta-lactamase OXA-10;quinolone resistance pentapeptide repeat protein QnrS1;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA14	resistent	resistent	sensibel	sensibel	sensibel	>=4	>=64	<=0.25	<=16	<=16	NA	NA	NA	NA
711859-19	False	0		False	0	ERR10177076	SAMEA111331348	ERX9713545	2019	C	C	0.0050326	88	False	True	no papG	2	blaEC-13;blaTEM-1	class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-13	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711963-18	True	0		True	4	ERR10177077	SAMEA111331349	ERX9713546	2018	D1	D	0.0053428	69	False	False	no papG_papGII	9	aph(3'')-Ib;aph(6)-Id;blaEC-8;blaTEM-1;dfrA7;qacEdelta1;sul1;sul2;tet(A)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A broad-spectrum beta-lactamase TEM-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA7	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711984-19	False	0		False	0	ERR10177078	SAMEA111331350	ERX9713547	2019	D3	D	0.0145489	963	False	False	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
711999-19	False	0		False	0	ERR10177079	SAMEA111331351	ERX9713548	2019	B2-1	B2	0.00561202	131	True	True	no papG	2	blaCTX-M-15;blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-15	sensibel	resistent	sensibel	sensibel	sensibel	<=0.25	>=64	<=0.25	<=16	<=16	NA	NA	NA	NA
