site,drug,stratum_type,stratum_value,n,n_r,n_s,auc,mean_prob_r,mean_prob_s,adequacy_label,interpretation
A-2018,Norflox,background_resistance_burden_bin,single,92,37,55,0.692383,0.510111,0.296864,interpretable,signal_retained_in_stratum
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,8,8,0,,0.703535,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,7,7,0,,0.82666,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,4,4,0,,0.438746,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,2,2,0,,0.344349,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,3,3,0,,0.472,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,15,15,0,,0.6393,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,1,1,0,,0.967282,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,2,2,0,,0.851935,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,1,1,0,,0.970714,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,2,0,,0.647945,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,5,5,0,,0.467221,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,36,36,0,,0.515884,,underpowered_low_susceptible,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=U|Ceftazidime=U|Cefepime=S,1,1,0,,0.302275,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,2,0,2,,,0.223416,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,0,2,,,0.802111,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,1,0,1,,,0.453182,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,0,1,,,0.152469,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,51,0,51,,,0.274112,underpowered_low_resistant,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,1,0,1,,,0.568833,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,291,0,291,,,0.314881,underpowered_low_resistant,do_not_overinterpret
A-2018,Norflox,exact_background_signature,Ciprofloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=U|Ceftazidime=R|Cefepime=U,3,0,3,,,0.592983,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,background_resistance_burden,0,126,14,112,0.584184,0.460705,0.442755,interpretable,borderline_in_stratum
DRIAMS-B,Amox-Clav,background_resistance_burden,1,5,0,5,,,0.390471,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,background_resistance_burden,2,22,2,20,0.675,0.625499,0.545348,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,background_resistance_burden,3,8,8,0,,0.436184,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,background_resistance_burden,4,3,3,0,,0.417793,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,background_resistance_burden,5,34,34,0,,0.628386,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Amox-Clav,background_resistance_burden_bin,multi,67,47,20,0.579787,0.582106,0.545348,interpretable,borderline_in_stratum
DRIAMS-B,Amox-Clav,background_resistance_burden_bin,none,126,14,112,0.584184,0.460705,0.442755,interpretable,borderline_in_stratum
DRIAMS-B,Amox-Clav,background_resistance_burden_bin,single,5,0,5,,,0.390471,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,34,34,0,,0.628386,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=R,1,1,0,,0.478955,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,21,1,20,0.4,0.508162,0.545348,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,2,2,0,,0.449081,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,2,2,0,,0.252181,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,5,0,5,,,0.390471,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,5,5,0,,0.50123,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,1,1,0,,0.742836,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,123,14,109,0.576016,0.460705,0.446484,interpretable,borderline_in_stratum
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,3,0,3,,,0.307274,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Amox-Clav,exact_background_signature,Ciprofloxacin=U|Norfloxacin=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,1,1,0,,0.355215,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,background_resistance_burden,0,124,0,124,,,0.13653,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,FEP,background_resistance_burden,1,20,0,20,,,0.12255,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,background_resistance_burden,2,22,0,22,,,0.283093,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,background_resistance_burden,3,8,6,2,0.25,0.211466,0.432864,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,background_resistance_burden,4,5,3,2,1.0,0.0963943,0.00681448,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,background_resistance_burden,5,34,34,0,,0.422671,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,FEP,background_resistance_burden_bin,multi,69,43,26,0.603757,0.370437,0.273361,interpretable,signal_retained_in_stratum
DRIAMS-B,FEP,background_resistance_burden_bin,none,124,0,124,,,0.13653,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,FEP,background_resistance_burden_bin,single,20,0,20,,,0.12255,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,34,34,0,,0.422671,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S,2,1,1,0.0,0.0917884,0.18247,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,20,0,20,,,0.293188,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S,2,0,2,,,0.182141,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,4,2,2,1.0,0.131465,0.00681448,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,5,0,5,,,0.0864539,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S,1,0,1,,,0.481998,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,6,5,1,0.0,0.235402,0.683258,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S,14,0,14,,,0.109767,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,109,0,109,,,0.138767,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S,12,0,12,,,0.147298,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S,3,0,3,,,0.0121846,underpowered_low_n,do_not_overinterpret
DRIAMS-B,FEP,exact_background_signature,Ciprofloxacin=U|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,1,1,0,,0.0262536,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,background_resistance_burden,0,124,0,124,,,0.167947,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,CAZ,background_resistance_burden,1,20,0,20,,,0.156303,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,background_resistance_burden,2,23,1,22,0.954545,0.751579,0.332149,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,background_resistance_burden,3,8,7,1,0.428571,0.204322,0.228404,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,background_resistance_burden,4,4,3,1,0.666667,0.137329,0.125737,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,background_resistance_burden,5,34,34,0,,0.483609,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,CAZ,background_resistance_burden_bin,multi,69,45,24,0.580556,0.423034,0.319226,interpretable,borderline_in_stratum
DRIAMS-B,CAZ,background_resistance_burden_bin,none,124,0,124,,,0.167947,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,CAZ,background_resistance_burden_bin,single,20,0,20,,,0.156303,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=R,34,34,0,,0.483609,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=R,1,0,1,,,0.125737,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=S,1,0,1,,,0.228404,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,20,0,20,,,0.34012,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Cefepime=S,2,0,2,,,0.252444,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=R,2,2,0,,0.18718,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=S,2,2,0,,0.0107312,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,5,0,5,,,0.102164,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Cefepime=S,1,0,1,,,0.567664,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=R,5,5,0,,0.281759,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=S,1,1,0,,0.751579,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=S,14,0,14,,,0.146256,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,109,0,109,,,0.169751,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Cefepime=S,12,0,12,,,0.188918,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,3,0,3,,,0.0185035,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CAZ,exact_background_signature,Ciprofloxacin=U|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=R,1,1,0,,0.0376266,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,background_resistance_burden,0,124,0,124,,,0.239529,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,CRO,background_resistance_burden,1,20,0,20,,,0.241776,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,background_resistance_burden,2,23,1,22,0.909091,0.848356,0.434868,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,background_resistance_burden,3,8,7,1,0.428571,0.287348,0.369281,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,background_resistance_burden,4,4,3,1,0.666667,0.20549,0.21757,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,background_resistance_burden,5,34,34,0,,0.597598,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,CRO,background_resistance_burden_bin,multi,69,45,24,0.597222,0.528769,0.423081,interpretable,borderline_in_stratum
DRIAMS-B,CRO,background_resistance_burden_bin,none,124,0,124,,,0.239529,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,CRO,background_resistance_burden_bin,single,20,0,20,,,0.241776,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=R,34,34,0,,0.597598,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=R,1,0,1,,,0.21757,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=S,1,0,1,,,0.369281,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,20,0,20,,,0.439717,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftazidime=S|Cefepime=S,2,0,2,,,0.386379,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=R,2,2,0,,0.272852,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=S,2,2,0,,0.0188326,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,5,0,5,,,0.152068,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftazidime=S|Cefepime=S,1,0,1,,,0.726553,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=R,5,5,0,,0.394754,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=S,1,1,0,,0.848356,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=S,14,0,14,,,0.239188,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,109,0,109,,,0.241895,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=U|Ceftazidime=S|Cefepime=S,12,0,12,,,0.269636,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,3,0,3,,,0.0331298,underpowered_low_n,do_not_overinterpret
DRIAMS-B,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=R,1,1,0,,0.0707665,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,background_resistance_burden,0,124,0,124,,,0.347983,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,Cipro,background_resistance_burden,1,42,22,20,0.7,0.556798,0.361143,interpretable,signal_retained_in_stratum
DRIAMS-B,Cipro,background_resistance_burden,2,1,1,0,,0.50144,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,background_resistance_burden,3,2,1,1,0.0,0.321235,0.845611,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,background_resistance_burden,4,7,0,7,,,0.31483,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,background_resistance_burden,5,36,34,2,0.735294,0.704877,0.510604,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Cipro,background_resistance_burden_bin,multi,46,36,10,0.755556,0.688569,0.407063,interpretable,signal_retained_in_stratum
DRIAMS-B,Cipro,background_resistance_burden_bin,none,124,0,124,,,0.347983,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,Cipro,background_resistance_burden_bin,single,42,22,20,0.7,0.556798,0.361143,interpretable,signal_retained_in_stratum
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,36,34,2,0.735294,0.704877,0.510604,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,2,0,2,,,0.0441072,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=R,1,1,0,,0.321235,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,1,1,0,,0.50144,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,25,20,5,0.86,0.544505,0.212023,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,3,2,1,0.5,0.679719,0.786563,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,5,0,5,,,0.423119,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,1,0,1,,,0.845611,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,14,0,14,,,0.384013,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,109,0,109,,,0.348224,underpowered_low_resistant,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,12,0,12,,,0.415915,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,3,0,3,,,0.0675065,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Norflox,background_resistance_burden,0,127,6,121,0.436639,0.284625,0.351842,interpretable,weak_or_reversed_in_stratum
DRIAMS-B,Norflox,background_resistance_burden,1,36,22,14,0.649351,0.567567,0.388676,interpretable,signal_retained_in_stratum
DRIAMS-B,Norflox,background_resistance_burden,2,1,1,0,,0.526748,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Norflox,background_resistance_burden,3,4,3,1,0.0,0.114444,0.877042,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Norflox,background_resistance_burden,4,8,3,5,0.533333,0.393869,0.403028,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Norflox,background_resistance_burden,5,34,34,0,,0.720821,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Norflox,background_resistance_burden_bin,multi,47,41,6,0.642276,0.647795,0.482031,interpretable,signal_retained_in_stratum
DRIAMS-B,Norflox,background_resistance_burden_bin,none,127,6,121,0.436639,0.284625,0.351842,interpretable,weak_or_reversed_in_stratum
DRIAMS-B,Norflox,background_resistance_burden_bin,single,36,22,14,0.649351,0.567567,0.388676,interpretable,signal_retained_in_stratum
DRIAMS-B,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,34,34,0,,0.720821,,underpowered_low_susceptible,do_not_overinterpret
DRIAMS-B,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=R,1,1,0,,0.29042,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,1,1,0,,0.526748,,underpowered_low_n,do_not_overinterpret
DRIAMS-B,Norflox,exact_background_signature,Ciprofloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,20,20,0,,0.549734,,underpowered_low_n,do_not_overinterpret
